Y,X,id,left,top,right,bottom
54.1187501533044,37.5904212196685,"553",4184546.54887816,7192678.30684554,4185546.54887816,7193678.30684554
54.1134847279804,37.5904212196685,"554",4184546.54887816,7191678.30684554,4185546.54887816,7192678.30684554
54.1082186337759,37.5904212196685,"555",4184546.54887816,7190678.30684554,4185546.54887816,7191678.30684554
54.1029518706505,37.5904212196685,"556",4184546.54887816,7189678.30684554,4185546.54887816,7190678.30684554
54.0976844385636,37.5904212196685,"557",4184546.54887816,7188678.30684554,4185546.54887816,7189678.30684554
54.0924163374749,37.5904212196685,"558",4184546.54887816,7187678.30684554,4185546.54887816,7188678.30684554
54.2711567072746,37.5994043725097,"571",4185546.54887816,7221678.30684554,4186546.54887816,7222678.30684554
54.2659106617978,37.5994043725097,"572",4185546.54887816,7220678.30684554,4186546.54887816,7221678.30684554
54.2606639486221,37.5994043725097,"573",4185546.54887816,7219678.30684554,4186546.54887816,7220678.30684554
54.2554165677062,37.5994043725097,"574",4185546.54887816,7218678.30684554,4186546.54887816,7219678.30684554
54.2501685190095,37.5994043725097,"575",4185546.54887816,7217678.30684554,4186546.54887816,7218678.30684554
54.2449198024907,37.5994043725097,"576",4185546.54887816,7216678.30684554,4186546.54887816,7217678.30684554
54.2396704181092,37.5994043725097,"577",4185546.54887816,7215678.30684554,4186546.54887816,7216678.30684554
54.2344203658238,37.5994043725097,"578",4185546.54887816,7214678.30684554,4186546.54887816,7215678.30684554
54.2291696455938,37.5994043725097,"579",4185546.54887816,7213678.30684554,4186546.54887816,7214678.30684554
54.2239182573782,37.5994043725097,"580",4185546.54887816,7212678.30684554,4186546.54887816,7213678.30684554
54.2186662011362,37.5994043725097,"581",4185546.54887816,7211678.30684554,4186546.54887816,7212678.30684554
54.213413476827,37.5994043725097,"582",4185546.54887816,7210678.30684554,4186546.54887816,7211678.30684554
54.2081600844097,37.5994043725097,"583",4185546.54887816,7209678.30684554,4186546.54887816,7210678.30684554
54.2029060238435,37.5994043725097,"584",4185546.54887816,7208678.30684554,4186546.54887816,7209678.30684554
54.1976512950877,37.5994043725097,"585",4185546.54887816,7207678.30684554,4186546.54887816,7208678.30684554
54.1923958981014,37.5994043725097,"586",4185546.54887816,7206678.30684554,4186546.54887816,7207678.30684554
54.1871398328439,37.5994043725097,"587",4185546.54887816,7205678.30684554,4186546.54887816,7206678.30684554
54.1818830992745,37.5994043725097,"588",4185546.54887816,7204678.30684554,4186546.54887816,7205678.30684554
54.1766256973524,37.5994043725097,"589",4185546.54887816,7203678.30684554,4186546.54887816,7204678.30684554
54.1713676270369,37.5994043725097,"590",4185546.54887816,7202678.30684554,4186546.54887816,7203678.30684554
54.1661088882874,37.5994043725097,"591",4185546.54887816,7201678.30684554,4186546.54887816,7202678.30684554
54.1608494810631,37.5994043725097,"592",4185546.54887816,7200678.30684554,4186546.54887816,7201678.30684554
54.1555894053235,37.5994043725097,"593",4185546.54887816,7199678.30684554,4186546.54887816,7200678.30684554
