,tula,tver
5F6840,,1.0
3A4029,,1.0
AE7C1D,,1.0
646841,,1.0
4E593F,,1.0
7C6D3F,,1.0
264E6F,,1.0
767941,,1.0
9F672C,,1.0
3C4226,,1.0
4F5C25,,1.0
3D607A,,1.0
4F5D26,,1.0
4D5A34,,1.0
5E4140,,1.0
81574A,,1.0
796B52,,1.0
5B4C40,,1.0
584D44,,1.0
505E2F,,1.0
656346,,1.0
6F6E42,,1.0
727747,,1.0
694B39,,1.0
9D6A2E,,1.0
78733B,,1.0
4E5935,,1.0
69683F,,1.0
535728,,1.0
495D2F,,1.0
613F38,,1.0
5B6570,,1.0
5A5147,,1.0
6D705B,,1.0
526179,,1.0
41638A,,1.0
185BB3,,1.0
303420,,1.0
4D5E21,,1.0
5E4936,,1.0
383827,,1.0
7D774E,,1.0
546577,,1.0
374864,,1.0
7A6451,,1.0
6D4937,,1.0
253861,,1.0
4E5E24,,1.0
34638B,,1.0
686840,,1.0
59503A,,1.0
4D5C2C,,1.0
6C6C47,,1.0
60392E,,1.0
363C1F,,1.0
535C78,,1.0
6C6C41,,1.0
59504B,,1.0
646744,,1.0
5E3C34,,1.0
4E5E25,,1.0
3B7090,,1.0
674E41,,1.0
595038,,1.0
4E5E2D,,1.0
3B3E28,,1.0
4C5D32,,1.0
505943,,1.0
696844,,1.0
4D647E,,1.0
5E4F2D,,1.0
304F59,,1.0
595030,,1.0
3C3F2C,,1.0
476384,,1.0
394024,,1.0
50593F,,1.0
694639,,1.0
988B33,,1.0
1E3359,,1.0
666C46,,1.0
6D5058,,1.0
5A5027,,1.0
4D5932,,1.0
9C6D2F,,1.0
434D5C,,1.0
707140,,1.0
734D43,,1.0
